"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Male","United States","Oregon","45 to 54","Master's Degree","Maybe","Mangement","110000","11-25 years","Manager","Geographic","Local Government","ArcGIS;QGIS","ArcGIS","No","Illustrator","50/50","FME;Pix4D;Python;SQL Server","No","File Geodatabase (ESRI)","GISP","Yes","Yes","3","No","Not much difference","Yes","Yes","8","7","haha memes go brrrr"
"Male","United States","California","35 to 44","Master's Degree","Not in GIS/Geography. Related field like statistics or an MBA","Mangement","135000","2-5 years","Manager","No","Engineering","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","InkScape;GIMP","50/50","PostGIS;Python;R","Python;R","PostgreSQL","No",,"No","3","No","Positively","Yes","Yes","7","5","haha memes go brrrr"
"Male","United States","Maine","25 to 34","Master's Degree","Maybe","Mid level","90000","2-5 years","Product Engineer","No","IT","ArcGIS","ArcGIS","Primarily","No","Vector","GDAL;PyCharm;VS Code","Python;JavaScript;Java","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","8","8","No"
"Male","Canada",,"45 to 54","Doctorate degree","Maybe","Associate Professor, tenured, in Geography department","150000","26 or more years","Associate Professor","No","Academia","ArcGIS;Google Earth;QGIS","QGIS","A bit","No","Vector","R;Minitab, SPSS, fucking MS-Excel","No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","6","8","Don't care"
"Female","Other",,"35 to 44","Doctorate degree","Yes","Mid level","18000","5-10 years","Analyst","Yes","Public Health","ArcGIS;QGIS","ArcGIS","Exclusively","No","Vector","Python","Python;SQL","PostgreSQL","No",,,"Laptop/tablet only","No","Not much difference","Yes","Yes","7","5","No"
"Male","Canada",,"25 to 34","Master's Degree","Yes","Mid level","47342.70","2-5 years","Analyst","Yes","Non-Profit","ArcGIS;Google Earth","ArcGIS","A bit","No","Raster","Access;GDAL;Python;R;Google Earth Engine","Python;SQL;R","Access","No","Yes",,"2","No","Not much difference","Yes","Yes","8","7","No"
"Male","United Kingdom","Not United States","25 to 34","Doctorate degree","Maybe","Mid level","40000","11-25 years","Project Manager","No","Environmental Non-Profit","ArcGIS;GRASS;QGIS","QGIS",,"PhotoShop","Vector",,"No","None (ShapeFiles baby)","No",,,"2","Yes - Once a week","Positively","Yes","Yes","7","7","No"
"Female","Europe",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","45000","2-5 years","Specialist","Yes","Local Government","AutoCAD;Google Earth;QGIS","QGIS",,"InkScape","Vector","FME;PostGIS;Python;R;SQL Server;VS Code","Python;SQL;JavaScript","PostgreSQL","No","No",,"2","Yes - Once a year","Positively","Yes","To some extent","10","10","haha memes go brrrr"
"Male","United States","Washington","25 to 34","Master's Degree","Yes","Mid level","80000","5-10 years","Analyst","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","GIMP;Blender ","Vector","GIMP;PyCharm;Python;R;SQL Server","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","9","8","haha memes go brrrr"
"Other / Prefer not to say","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","5-10 years","Analyst","Yes","Environmental","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","No","No","50/50","Access;Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was, but back in the office now","No","8","10","No"
"Male","United States","Wisconsin","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","46600","Under 1 year","Analyst","Yes","Consulting","ArcGIS;AutoCAD;Google Earth","ArcGIS","50/50","No","50/50","Access;FME;SQL Server","No","File Geodatabase (ESRI)","No",,,"3","No","Positively","Yes","Yes","7","7","haha memes go brrrr"
"Male","Canada","Not United States","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","1","Not employed.","Intern","Yes","Real Estate","ArcGIS;PCensus","ArcGIS","Primarily","No","Vector","Python;VS Code","Python","File Geodatabase (ESRI)","No","No",,"2","No","Negatively","Yes","Yes","6","7","haha memes go brrrr"
"Female","United States","Oklahoma","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Looking for work","65000","5-10 years","Specialist","Yes","Oil and Gas","ArcGIS","ArcGIS","A bit","No","Vector","FME","No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","Yes","To some extent","8","8","No"
"Male","United States","Utah","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","75000","11-25 years","Project Manager","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","Illustrator","Vector","SQL Server","No","File Geodatabase (ESRI)","University GIS Cert","No","No","2","Yes - Once a month","Positively","Yes","To some extent","8","8","No"
"Male","United States","Maryland","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","52500","2-5 years","Analyst","Yes","Consulting","ArcGIS","ArcGIS","A bit","Illustrator;No","Vector","Access","No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","6","6","No"
"Male","United States","Kansas","25 to 34","Bachelor's (Undergraduate) Degree","Yes","Mid level","78361.92","5-10 years","Analyst","I'm on the ""GIS"" team but ""GIS"" is not in my title","Telecommunications","ArcGIS;MapInfo","MapInfo","A bit","No","Vector","Microsoft Excel & Alteryx","minimal coding","SQL Server","No",,,"1","No","Positively","Yes","To some extent","9","7","Don't care"
"Male","United States","Washington","35 to 44","Master's Degree","Maybe","Mid level","65000","11-25 years","Lead Analyst","Yes","Consulting","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","Vector","Microstation;Python","No","File Geodatabase (ESRI)","No",,,"3","No","Not much difference","I was already working from home","Yes","9","8","No"
"Male","United States","Arkansas","25 to 34","Master's Degree","Yes","Mid level","58000","2-5 years","Analyst","Yes","Natural Resources","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","A bit","No","Vector","GDAL;PostGIS;PyCharm;Python;R;SQL Server","Python;SQL;JavaScript","PostgreSQL","No","No","No","3","No","Positively","Yes","To some extent","8","4","No"
"Male","Canada",,"35 to 44","Master's Degree","Yes","Mid level","80000","5-10 years","Analyst","Yes","Environmental","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access;Python;R","Python;R","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","I was, but back in the office now",,"9","8","Yes"
