"Timestamp","Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income level in US Dollars","How long have you been working?","If employed, what is your current job title (without the GIS)?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?"
"2019/06/07 4:25:45 PM GMT+1","Male","United States","Utah","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","26 or more years","Specialist","Energy","ArcGIS;Google Earth","ArcGIS","A bit","InkScape","50/50","FME;GIMP","Python;SQL","Oracle","No",8,6
"2019/06/07 4:27:05 PM GMT+1","Male","United States","Arizona","35 to 44","Master's Degree","Maybe","Mid level","$50,000 - $75,000","2-5 years","Coordinator","Forestry","ArcGIS","ArcGIS","50/50","Corel Draw","Vector","Access;FME;Python","No;Python","File Geodatabase (ESRI)","No",6,4
"2019/06/07 4:27:24 PM GMT+1","Male","United States","Virginia","18 to 24","High School or equivalent","Yes","Student - University/College","Under $20,000","Under 1 year","Intern","Utilities","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector",,"No","None (ShapeFiles baby)","No",7,8
"2019/06/07 4:29:33 PM GMT+1","Male","United States","Minnesota","35 to 44","Master's Degree","Maybe","Mid level","$50,000 - $75,000","5-10 years","Analyst","Engineering","ArcGIS","ArcGIS","Primarily","No","Vector","Python;SQL Server","No","File Geodatabase (ESRI)","No",9,8
"2019/06/07 4:29:48 PM GMT+1","Male","Switzerland","Not United States","25 to 34","Master's Degree","Yes","Mid level","$100,000 - $150,000","5-10 years","Consultant","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","FME;PostGIS;Python;SQL Server","Python;SQL;.NET;C#;JavaScript","SQL Server","Esri certification",10,10
"2019/06/07 4:36:22 PM GMT+1","Male","Estonia",,"25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","2-5 years","Developer","Defense","QGIS","QGIS","No","No","Raster","GDAL;GIMP;PostGIS;PyCharm;Python","Python;SQL;JavaScript;C++","PostgreSQL","No",4,5
"2019/06/07 4:39:56 PM GMT+1","Male","United States","New York","25 to 34","Master's Degree","Yes","Mid level","$75,000 - $100,000","5-10 years","Data Scientist ","Local Government","ArcGIS","ArcGIS","A bit","Illustrator","50/50","Access;PostGIS;PyCharm;R;SAS;SQL Server;Stata","Python;SQL;R","PostgreSQL","GISP",9,7
"2019/06/07 4:41:08 PM GMT+1","Male","United States","Maryland","25 to 34","Master's Degree","Maybe","Mid level","$75,000 - $100,000","5-10 years","Research Analyst","Central Government","ArcGIS","ArcGIS","A bit","No","Vector","PyCharm;Python;SAS","Python","SQL Server","No",7,7
"2019/06/07 4:41:14 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$75,000 - $100,000","1-2 years","Developer","GIS","ArcGIS","ArcGIS","A bit","No","50/50","Python","Python;SQL;.NET;C#;JavaScript;Java","PostgreSQL","No",8,6
"2019/06/07 4:43:11 PM GMT+1","Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","2-5 years","Specialist","Civil Engineering","ArcGIS;AutoCAD;Google Earth;GRASS;Manifold;QGIS","QGIS",,"No","Vector","Access;FME;GDAL;SQL Server","SQL","SQL Server","No",10,9
"2019/06/07 4:48:49 PM GMT+1","Female","United States","Virginia","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","2-5 years","Project Manager","Non-Profit","ArcGIS","ArcGIS","Primarily","No","50/50","Access;InDesign;Stata","No","File Geodatabase (ESRI)","No",7,8
"2019/06/07 4:52:06 PM GMT+1","Male","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Specialist","Consulting","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","No","No","Raster","PostGIS;PyCharm;Python","Python;SQL;JavaScript","PostgreSQL","No",7,7
"2019/06/07 4:54:54 PM GMT+1","Male","United States","Arizona","65 to 74","Master's Degree","Maybe","Self employed (Entrepreneur, Freelancer, etc..)","$75,000 - $100,000","26 or more years","Consultant","Consulting","ArcGIS;QGIS","QGIS","A bit","No","Vector","FME;GDAL;PostGIS;Python","Python;JavaScript","PostgreSQL","GISP",10,3
"2019/06/07 4:58:45 PM GMT+1","Male","United States","Wisconsin","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Analyst","Agriculture","QGIS;AG Leader SMS","QGIS",,"No","50/50","Python","Python","None (ShapeFiles baby)","No",7,7
"2019/06/07 5:02:52 PM GMT+1","Male","United States","Massachusetts","25 to 34","Bachelor's (Undergraduate) Degree","No","Mid level","$40,000 - $50,000","11-25 years","Support Specialist","Consulting","ArcGIS","ArcGIS","A bit","No","50/50","FME;Pix4D;SAS;SQL Server","No","PostgreSQL","No",9,10
"2019/06/07 5:10:23 PM GMT+1","Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mid level","$20,000 - $30,000","1-2 years","Technician","Environmental","ArcGIS;QGIS","ArcGIS","No","No","50/50",,"SQL","Personal Geodatabase (ESRI)","No",8,8
"2019/06/07 5:10:37 PM GMT+1","Male","United States","Louisiana","35 to 44","High School or equivalent",,"Mid level","$40,000 - $50,000","11-25 years","Technician","Utilities","Google Earth;QGIS","QGIS",,"No","Vector",,"No","None (ShapeFiles baby)","No",5,7
"2019/06/07 5:14:52 PM GMT+1","Male","Ireland","Florida","25 to 34","Master's Degree","Maybe","Self employed (Entrepreneur, Freelancer, etc..)","$40,000 - $50,000","11-25 years","Hydrographic surveyor","Natural Resources","ArcGIS;ERDAS;Global Mapper;Google Earth;GRASS;QGIS;SmallWorld","QGIS","Primarily","GIMP","Vector","Access;FME;InDesign;PostGIS;Python;R","Python;SQL","PostgreSQL","No",7,5
"2019/06/07 5:18:05 PM GMT+1","Male","Switzerland",,"35 to 44","Doctorate degree","Yes","Mangement","$150,000 or more","11-25 years","Manager","Insurance","Google Earth;GRASS;QGIS","QGIS",,"No","50/50","GIMP;Pix4D;PostGIS;Python;R;SQL Server","Python","PostgreSQL","No",8,2
"2019/06/07 5:19:57 PM GMT+1","Male","United States","Texas","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Environmental","ArcGIS;AutoCAD;Global Mapper;Google Earth;QGIS","ArcGIS","A bit","Illustrator","Vector","Access;FME;Microstation","SQL","MySQL","No",8,8
"2019/06/07 5:20:20 PM GMT+1","Male","Italy",,"25 to 34","Master's Degree","Yes","Looking for work","Under $20,000","2-5 years",,"Oil and Gas","ArcGIS;ERDAS;Google Earth;GRASS;QGIS","ArcGIS","A bit","InkScape","Vector","Access;FME;GDAL;GIMP;PostGIS;Python;R;SQL Server","Python;SQL","PostgreSQL","No",10,9
"2019/06/07 5:20:32 PM GMT+1","Female","United States","Washington","25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","Under $20,000","Not employed.",,"Natural Resources","ArcGIS;Google Earth;QGIS","ArcGIS","A bit","No","Raster","GDAL;PyCharm;Python","Python;SQL","File Geodatabase (ESRI)","No",7,8
"2019/06/07 5:20:33 PM GMT+1","Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Looking for work","Under $20,000","Not employed.",,,"ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","Primarily","Illustrator","Vector",,"No","File Geodatabase (ESRI)","No",9,9
"2019/06/07 5:29:26 PM GMT+1","Male","United States","Texas","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Analyst","Oil and Gas","ArcGIS;Google Earth;QGIS","ArcGIS","No","No","Vector","Access;GDAL;Python;SQL Server","Python","SQL Server","No",3,3
"2019/06/07 5:33:05 PM GMT+1","Male","United States","Florida","25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","$20,000 - $30,000","2-5 years","Research Assistant","Academia","ArcGIS;ENVI;Google Earth","ArcGIS","No","No","50/50","Matlab;Python;R","No","Personal Geodatabase (ESRI)","No",7,4
"2019/06/07 5:36:40 PM GMT+1","Male","United States","New Jersey","18 to 24","High School or equivalent",,"Student - University/College","$75,000 - $100,000","Under 1 year","Intern","Defense","ArcGIS;Google Earth","ArcGIS","No","Illustrator","Vector","Access;PyCharm;Python;SQL Server","Python","PostgreSQL","No",9,10
"2019/06/07 5:37:52 PM GMT+1","Male","United States","Colorado","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Local Government","ArcGIS","ArcGIS","A bit","InkScape","Vector","GIMP;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",7,6
"2019/06/07 5:50:51 PM GMT+1","Female","Canada",,"25 to 34","Doctorate degree","No","Looking for work","Under $20,000","Not employed.",,,"ArcGIS;Google Earth;QGIS","ArcGIS","50/50","GIMP","50/50","Access;FME;GDAL;GIMP;Matlab;PostGIS;Python;R;SAS;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",1,1
"2019/06/07 5:53:58 PM GMT+1","Male","Denmark",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","$20,000 - $30,000","Under 1 year","Technician","Local Government","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","Python;R","Python","PostgreSQL","GISP",8,8
"2019/06/07 5:54:14 PM GMT+1","Female","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Analyst","Consulting","ArcGIS","ArcGIS","No","No","Vector","Access;FME;Python;R;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",9,8
"2019/06/07 6:00:37 PM GMT+1","Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Looking for work","Under $20,000","Not employed.",,,"GRASS;QGIS","QGIS",,"No",,"GDAL;PostGIS;Python;R;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",5,5
"2019/06/07 6:07:03 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","5-10 years","Developer","Local Government","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","Access;FME;GDAL;GIMP;Pix4D;PostGIS;Python;Oracle","No","PostgreSQL","No",9,9
"2019/06/07 6:11:33 PM GMT+1","Male","Brazil","Not United States","18 to 24","High School or equivalent",,"Student - University/College","Under $20,000","Not employed.",,"Civil Engineering","QGIS","QGIS","No","Illustrator","Vector",,"No","None (ShapeFiles baby)","No",5,8
"2019/06/07 6:11:37 PM GMT+1","Male","Sweden",,"25 to 34","Doctorate degree","Yes","Mid level","$40,000 - $50,000","5-10 years","Researcher","Academia","Google Earth;GRASS;QGIS;r","QGIS","No","InkScape","50/50","GDAL;GIMP;Pix4D;R","r","SQLite (SpatiaLite, GeoPackage)","PhD",10,10
"2019/06/07 6:13:05 PM GMT+1","Male","Germany",,"25 to 34","Master's Degree","Yes","Entry level","$50,000 - $75,000","Under 1 year","Cartographer","Local Government","ArcGIS","ArcGIS","No","Illustrator","Vector","InDesign;Python","Python","None (ShapeFiles baby)","No",5,4
"2019/06/07 6:13:52 PM GMT+1","Male","Austria",,"35 to 44","Master's Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Software Architect","Local Government","ArcGIS;ERDAS;Global Mapper;GRASS;QGIS;FME","Other","A bit","No","Vector","FME;GDAL;GIMP;PostGIS;PyCharm;Python;SQL Server","Python;SQL;.NET;C#;JavaScript","PostgreSQL","No",10,10
"2019/06/07 6:17:10 PM GMT+1","Male","Netherlands",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","Under $20,000","Not employed.",,,"ArcGIS;QGIS","ArcGIS","Exclusively","No","Vector",,"No","PostgreSQL","GIS Certification (college) ",9,9
"2019/06/07 6:18:52 PM GMT+1","Male","United States","Maryland","35 to 44","Master's Degree","Yes","Mangement","$75,000 - $100,000","11-25 years","Manager","Utilities","ArcGIS;Google Earth;QGIS","ArcGIS","No","No","Vector","Access;FME;Matlab;Python;R;SQL Server","No","SQL Server","GISP",8,6
"2019/06/07 6:20:28 PM GMT+1","Male","United States","Virginia","35 to 44","Bachelor's (Undergraduate) Degree","N/A","Mid level","$50,000 - $75,000","2-5 years","Engineering Technician","Local Government","ArcGIS","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",9,8
"2019/06/07 6:22:07 PM GMT+1","Male","United States","Georgia","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$50,000 - $75,000","2-5 years","Analyst","Real Estate","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","Vector","Tableau","No","Personal Geodatabase (ESRI)","No",8,3
"2019/06/07 6:24:12 PM GMT+1","Male","United States","Ohio","18 to 24","Bachelor's (Undergraduate) Degree",,"Looking for work","$20,000 - $30,000","Not employed.",,,"ArcGIS;AutoCAD;ENVI;Google Earth;GRASS;QGIS","ArcGIS","Primarily","No","50/50",,"Python","File Geodatabase (ESRI)","No",10,8
"2019/06/07 6:25:36 PM GMT+1","Male","United States","Washington","35 to 44","Master's Degree","Maybe","Mid level","$75,000 - $100,000","11-25 years","Analyst","Utilities","ArcGIS","ArcGIS","A bit","InkScape","Vector","Access;GIMP;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",8,10
"2019/06/07 6:28:01 PM GMT+1","Male","United Kingdom",,"18 to 24","Master's Degree","Maybe","Entry level","$20,000 - $30,000","1-2 years","Consultant","GIS","ArcGIS","ArcGIS","Primarily","Illustrator","Vector","Python;R;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",10,10
"2019/06/07 6:28:06 PM GMT+1","Male","United States","Georgia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","5-10 years","Analyst","Regional Government","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","FME;InDesign;PyCharm;Python;SQL Server","No","SQL Server","No",8,8
"2019/06/07 6:28:48 PM GMT+1","Male","United States","Michigan","18 to 24","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Mid level","$50,000 - $75,000","2-5 years","Developer","Utilities","ArcGIS;SmallWorld","ArcGIS","No","No","Vector","Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",9,10
"2019/06/07 6:29:08 PM GMT+1","Male","United States","Florida","25 to 34","Master's Degree","Yes","Mid level","$40,000 - $50,000","2-5 years","Specialist","Utilities","ArcGIS;AutoCAD","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",9,9
"2019/06/07 6:29:49 PM GMT+1","Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$100,000 - $150,000","5-10 years","Developer","Defense","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","Microstation;PostGIS;PyCharm;Python;SQL Server","Python;SQL;.NET;C#;JavaScript","SQL Server","No",8,8
"2019/06/07 6:30:29 PM GMT+1","Male","United States","Washington D.C","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Specialist","GIS","ArcGIS;QGIS","ArcGIS","A bit","No","Vector","FME;Bentley MicroStation","Python;JavaScript","SQL Server","No",8,8
"2019/06/07 6:31:02 PM GMT+1","Male","United States","Kansas","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","$40,000 - $50,000","Under 1 year","Technician","Local Government","ArcGIS;Google Earth","ArcGIS","No","No","Vector","Access;SQL Server","No","SQL Server","No",7,8
"2019/06/07 6:31:32 PM GMT+1","Male","United States","Washington","25 to 34","Master's Degree","Maybe","Entry level","$30,000 - $40,000","2-5 years","Data Curator","Tech/Transportation Network industry","QGIS;JOSM","QGIS",,"No","Vector",,"No","None (ShapeFiles baby)","No",8,6
"2019/06/07 6:32:15 PM GMT+1","Male","United States","Texas","18 to 24","Master's Degree","Yes","Entry level","$30,000 - $40,000","Under 1 year","Technician","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","InkScape","50/50","Python","No","File Geodatabase (ESRI)","No",7,7
"2019/06/07 6:33:31 PM GMT+1","Male","United States","North Carolina","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","Under $20,000","Not employed.",,"Academia","ArcGIS;Google Earth;QGIS","QGIS",,"PhotoShop","Vector","Access;Python;SQL Server","Python;Java","None (ShapeFiles baby)","No",7,8
"2019/06/07 6:35:29 PM GMT+1","Male","United States","Virginia","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","$30,000 - $40,000","Under 1 year","Specialist","Telecommunications","ArcGIS;Google Earth","ArcGIS","No","No","Vector",,"No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 6:35:38 PM GMT+1","Male","Netherlands",,"35 to 44","Bachelor's (Undergraduate) Degree","Maybe","Mid level","$50,000 - $75,000","11-25 years","Developer","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","FME;Python;SQL Server;Visual Studio ","Python;SQL;.NET;C#;JavaScript;Java","SQL Server","Esri developer",10,10
"2019/06/07 6:35:38 PM GMT+1","Male","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Coordinator","Civil Engineering","ArcGIS;AutoCAD;Global Mapper;Google Earth","ArcGIS","A bit","Illustrator","50/50","Access;GIMP;InDesign;Python;SQL Server","Python","File Geodatabase (ESRI)","GISP",9,9
"2019/06/07 6:36:53 PM GMT+1","Male","United States","Maryland","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","2-5 years","Specialist","Defense","ArcGIS","ArcGIS","A bit","No","Vector","SQL Server","No","SQL Server","No",8,8
"2019/06/07 6:37:11 PM GMT+1","Male","United Kingdom",,"35 to 44","Master's Degree","Yes.  It wasn't in GIS.","Self employed (Entrepreneur, Freelancer, etc..)","$20,000 - $30,000","5-10 years","Consultant","Environmental","QGIS","QGIS","No","InkScape","Vector","FME;GIMP","No","None (ShapeFiles baby)","No",7,7
"2019/06/07 6:39:00 PM GMT+1","Male","United States","North Carolina","35 to 44","Master's Degree","Yes","Mangement","$100,000 - $150,000","11-25 years","director","Utilities","ArcGIS;ERDAS;GRASS;QGIS","ArcGIS","No","No","50/50","GDAL;Pix4D","Python;JavaScript","None (ShapeFiles baby)","No",8,6
"2019/06/07 6:40:36 PM GMT+1","Male","United Kingdom",,"25 to 34","Master's Degree","Yes","Mangement","$75,000 - $100,000","2-5 years","Analyst","Telecommunications","QGIS","QGIS",,"No","Vector","PostGIS","SQL","PostgreSQL","No",9,8
"2019/06/07 6:41:46 PM GMT+1","Male","United States",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$50,000 - $75,000","2-5 years","Analyst","Local Government","ArcGIS;AutoCAD;Google Earth;QGIS","ArcGIS","A bit","Illustrator","Vector","PostGIS;PyCharm;Python;SQL Server","Python;JavaScript","SQL Server","No",8,9
"2019/06/07 6:42:07 PM GMT+1","Prefer not to say","Canada",,"35 to 44","Doctorate degree","No","Mangement","$50,000 - $75,000","2-5 years","Manager","Archaeology","ArcGIS;Google Earth;QGIS","ArcGIS","No","No","Vector","Access;GDAL;GIMP;PostGIS;PyCharm;Python","Python","PostgreSQL","No",10,9
"2019/06/07 6:42:47 PM GMT+1","Male","United States","Minnesota","25 to 34","Master's Degree","Yes","Mid level","$50,000 - $75,000","5-10 years","Analyst","Natural Resources","ArcGIS;Google Earth","ArcGIS","A bit","No","Vector","Access;Python;SQL Server","Python;SQL","MySQL","No",8,8
"2019/06/07 6:45:27 PM GMT+1","Female","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","$40,000 - $50,000","11-25 years","Forester in Training","Forestry","ArcGIS;Global Mapper;Google Earth","ArcGIS","No","No","Vector","Agisoft Photoscan","Python","File Geodatabase (ESRI)","No",8,8
"2019/06/07 6:46:09 PM GMT+1","Male","United States","Michigan","35 to 44","Master's Degree","Maybe","Mangement","$40,000 - $50,000","1-2 years","Coordinator","Local Government","ArcGIS;QGIS","ArcGIS","No","GIMP","Vector","GIMP","No","File Geodatabase (ESRI)","No",8,8
"2019/06/07 6:46:37 PM GMT+1","Male","United States","Ohio","35 to 44","Master's Degree","Yes","Self employed (Entrepreneur, Freelancer, etc..)","$100,000 - $150,000","1-2 years","Geospatial Data Scientist","Consulting","ArcGIS;Google Earth;GRASS;QGIS","QGIS","No","InkScape","50/50","GDAL;GIMP;PostGIS;R","Python;SQL;JavaScript","PostgreSQL","No",8,6
"2019/06/07 6:46:58 PM GMT+1","Male","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree","No","Self employed (Entrepreneur, Freelancer, etc..)","$75,000 - $100,000","11-25 years","Developer","Consulting","ArcGIS;QGIS","ArcGIS","50/50","No","Vector","FME;GDAL;PostGIS;Python;SQL Server","Python;SQL;.NET;C#;JavaScript","PostgreSQL","No",8,8
"2019/06/07 6:47:12 PM GMT+1","Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","$75,000 - $100,000","11-25 years","Specialist","Software","ArcGIS","ArcGIS","Primarily","No","Vector","PyCharm;Python;SQL Server","Python;SQL;JavaScript","SQL Server","No",7,9
"2019/06/07 6:49:16 PM GMT+1","Female","United States","South Carolina","25 to 34","Master's Degree","Maybe","Mid level","$40,000 - $50,000","5-10 years","Research Analyst","Public Health","ArcGIS","ArcGIS","A bit","Illustrator","Vector","InDesign;R;SAS","No","File Geodatabase (ESRI)","No",10,8
"2019/06/07 6:49:38 PM GMT+1","Male","United States","Florida","25 to 34","Master's Degree","Yes","Entry level","$50,000 - $75,000","2-5 years","Technician","Energy","ArcGIS;AutoCAD;Google Earth;QGIS;SmallWorld","ArcGIS","No","No","Raster","Access;FME;Python;SQL Server","Python;SQL","PostgreSQL","No",10,10
"2019/06/07 6:52:22 PM GMT+1","Male","United States","Kentucky","35 to 44","Doctorate degree","Maybe","Senior Architect - non management","$75,000 - $100,000","11-25 years","GIS Architect","Consulting","ArcGIS;ERDAS;Google Earth;QGIS","Other","A bit","No","Vector","Access;FME;Pix4D;PostGIS;PyCharm;Python;R;SAS;SQL Server","Python;SQL;JavaScript","PostgreSQL","No",10,10
"2019/06/07 6:52:36 PM GMT+1","Male","United States","Maryland","18 to 24","Bachelor's (Undergraduate) Degree",,"Student - University/College","Under $20,000","2-5 years","Research Assistant","Environmental","ArcGIS;Google Earth;GRASS;QGIS","QGIS","No","No","50/50","GDAL;PyCharm;Python;R","Python","Personal Geodatabase (ESRI)","No",7,7
"2019/06/07 6:56:39 PM GMT+1","Male","Germany",,"18 to 24","High School or equivalent","Yes","Student - University/College","Under $20,000","Under 1 year","Consultant","Transportation","ArcGIS;MapInfo;QGIS","MapInfo","Exclusively","GIMP","Vector","Access;GIMP;SQL Server","No;Python","File Geodatabase (ESRI)","No",8,10
"2019/06/07 6:57:44 PM GMT+1","Male","Austria",,"25 to 34","Master's Degree","Yes","Student - University/College","$20,000 - $30,000","2-5 years","Researcher","Academia","ArcGIS;ENVI;ERDAS;GRASS;QGIS;SAGA GIS","QGIS","No","GIMP","50/50","PostGIS;Python;Apache Spark","Python","PostgreSQL","No",8,8
